Owner,Repository,Stars,Created At,Last Updated,Primary Language,Releases,Open Issues,Closed Issues,Closed Issues Ratio,Merged Pull Requests
browser-use,browser-use,68878,2024-10-31T16:00:56Z,2025-08-29T14:01:50Z,Python,77,469,608,0.56,1027
python,cpython,68586,2017-02-10T19:23:51Z,2025-08-29T13:53:51Z,Python,0,7240,66182,0.90,52891
base,node,68471,2023-02-01T13:55:02Z,2025-08-28T20:00:05Z,Go,54,51,190,0.79,186
sherlock-project,sherlock,68278,2018-12-24T14:30:48Z,2025-08-29T13:13:53Z,Python,1,104,971,0.90,642
punkpeye,awesome-mcp-servers,67991,2024-11-30T04:49:10Z,2025-08-29T14:06:57Z,Unknown,0,31,74,0.70,927
ocornut,imgui,67876,2014-07-21T14:29:47Z,2025-08-29T13:54:25Z,C++,114,1013,5530,0.85,405
apache,superset,67789,2015-07-21T18:55:34Z,2025-08-29T14:03:54Z,TypeScript,234,477,11178,0.96,14879
rasbt,LLMs-from-scratch,67788,2023-07-23T18:15:57Z,2025-08-29T14:13:14Z,Jupyter Notebook,0,3,174,0.98,391
expressjs,express,67616,2009-06-26T18:56:01Z,2025-08-29T08:23:59Z,JavaScript,160,105,3887,0.97,461
Alvin9999,new-pac,67597,2016-03-23T08:43:36Z,2025-08-29T14:15:04Z,Python,0,442,1342,0.75,0
openai,openai-cookbook,67517,2022-03-11T02:08:53Z,2025-08-29T14:06:52Z,Jupyter Notebook,0,41,559,0.93,874
PKUFlyingPig,cs-self-learning,66821,2021-10-20T13:43:42Z,2025-08-29T14:15:30Z,HTML,5,106,104,0.50,297
localsend,localsend,66711,2022-12-16T00:46:07Z,2025-08-29T13:51:40Z,Dart,24,790,646,0.45,667
obsproject,obs-studio,66473,2013-10-01T02:40:31Z,2025-08-29T13:29:14Z,C,224,672,3942,0.85,5253
caddyserver,caddy,66463,2015-01-13T19:45:03Z,2025-08-29T13:11:38Z,Go,130,183,4161,0.96,2132
chartjs,Chart.js,66449,2013-03-17T23:56:36Z,2025-08-29T12:03:34Z,JavaScript,116,462,6804,0.94,3002
modelcontextprotocol,servers,66186,2024-11-19T01:10:17Z,2025-08-29T14:01:26Z,TypeScript,19,170,470,0.73,913
astral-sh,uv,66154,2023-10-02T20:24:11Z,2025-08-29T14:09:05Z,Rust,210,1923,5504,0.74,7271
ansible,ansible,66104,2012-03-06T14:58:02Z,2025-08-29T11:18:44Z,Python,163,554,32488,0.98,39210
fffaraz,awesome-cpp,65973,2014-07-17T08:51:11Z,2025-08-29T13:44:35Z,Unknown,0,346,237,0.41,802
Eugeny,tabby,65761,2016-12-23T09:06:10Z,2025-08-29T13:54:06Z,TypeScript,201,2322,3429,0.60,1489
leonardomso,33-js-concepts,65559,2018-09-04T13:27:04Z,2025-08-29T06:49:35Z,JavaScript,0,22,81,0.79,252
webpack,webpack,65511,2012-03-10T10:08:14Z,2025-08-29T13:08:39Z,JavaScript,438,118,9973,0.99,5132
nektos,act,65431,2019-01-02T19:53:43Z,2025-08-29T14:10:13Z,Go,88,219,1063,0.83,1049
danielmiessler,SecLists,65279,2012-02-19T01:30:18Z,2025-08-29T14:04:09Z,PHP,28,6,292,0.98,681
AppFlowy-IO,AppFlowy,65142,2021-06-16T12:56:48Z,2025-08-29T14:00:42Z,Dart,112,993,2647,0.73,3886
xtekky,gpt4free,65041,2023-03-29T17:00:43Z,2025-08-29T13:41:21Z,Python,338,8,1863,1.00,822
lobehub,lobe-chat,64952,2023-05-21T07:19:12Z,2025-08-29T14:04:35Z,TypeScript,1000,916,3462,0.79,2550
lydiahallie,javascript-questions,64829,2019-06-12T08:26:27Z,2025-08-29T12:37:42Z,Unknown,0,17,233,0.93,328
binhnguyennus,awesome-scalability,64829,2017-12-27T03:46:40Z,2025-08-29T14:14:26Z,Unknown,0,0,0,0.00,36
Stirling-Tools,Stirling-PDF,64760,2023-01-27T18:22:42Z,2025-08-29T13:22:25Z,Java,135,320,1078,0.77,2278
zed-industries,zed,64643,2021-02-20T03:01:06Z,2025-08-29T14:16:07Z,Rust,976,2609,11633,0.82,16541
apache,echarts,64495,2013-04-03T03:18:59Z,2025-08-29T12:45:20Z,TypeScript,122,1847,17255,0.90,1450
